fecha_update	COD_LOCAL	DESCRIPCION	INVENTARIO.u.	INVENTARIO.S.
2021-12-28	2518	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2519	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2520	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2521	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2522	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2523	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2524	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	5	30.6
2021-12-28	2525	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2	12.24
2021-12-28	2526	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2	12.24
2021-12-28	2527	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2	12.24
2021-12-28	2528	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	0	0
2021-12-28	2529	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	1	6.12
2021-12-28	2530	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	1	6.12
2021-12-28	2531	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2	12.24
2021-12-28	2532	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2	12.24
2021-12-28	2533	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2	12.24
2021-12-28	2534	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2	12.24
2021-12-28	2535	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2536	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	1	6.12
2021-12-28	2537	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	5	30.6
2021-12-28	2538	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	5	30.6
2021-12-28	2539	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2	12.24
2021-12-28	2540	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2541	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2542	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2543	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	5	30.6
2021-12-28	2544	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2545	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	5	30.6
2021-12-28	2546	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2547	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2548	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	1	6.12
2021-12-28	2549	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2550	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	9	55.08
2021-12-28	2551	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2	12.24
2021-12-28	2552	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2553	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	80	489.6
2021-12-28	2554	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	11	67.32
2021-12-28	2555	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	5	30.6
2021-12-28	2556	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2557	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2558	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2559	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2560	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	1	6.12
2021-12-28	2561	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2	12.24
2021-12-28	2562	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2	12.24
2021-12-28	2563	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	0	0
2021-12-28	2564	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2565	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	0	0
2021-12-28	2566	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	5	30.6
2021-12-28	2567	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	7	42.84
2021-12-28	2568	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2569	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2570	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	6	36.72
2021-12-28	2571	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	1	6.12
2021-12-28	2572	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	8	48.96
2021-12-28	2573	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2574	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	1	6.12
2021-12-28	2575	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2576	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	7	42.84
2021-12-28	2577	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2578	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2579	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2580	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	4	24.48
2021-12-28	2581	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2	12.24
2021-12-28	2582	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	5	30.6
2021-12-28	2583	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	7	42.84
2021-12-28	2584	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2	12.24
2021-12-28	2585	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	3	18.36
2021-12-28	2586	FRAMIDEX N.F SOL.OFT/OTI FCOX2.5ML	2	12.24
